iter	Passed	Remaining
0	23	9142
1	45	8777
2	68	8798
3	90	8676
4	111	8510
5	133	8473
6	155	8470
7	177	8429
8	200	8422
9	257	9743
10	294	10094
11	316	9918
12	337	9732
13	358	9578
14	380	9466
15	404	9396
16	426	9300
17	447	9199
18	468	9092
19	489	9000
20	510	8913
21	531	8838
22	552	8765
23	572	8689
24	593	8620
25	614	8548
26	635	8496
27	655	8428
28	677	8388
29	698	8337
30	718	8278
31	738	8216
32	759	8172
33	780	8121
34	800	8078
35	821	8034
36	843	8003
37	864	7962
38	885	7921
39	907	7896
40	929	7866
41	949	7822
42	969	7777
43	990	7741
44	1010	7705
45	1031	7667
46	1051	7629
47	1072	7599
48	1094	7569
49	1115	7537
50	1134	7498
51	1154	7463
52	1175	7431
53	1197	7405
54	1217	7370
55	1248	7401
56	1269	7372
57	1289	7339
58	1311	7311
59	1332	7282
60	1353	7256
61	1374	7229
62	1395	7200
63	1416	7170
64	1437	7143
65	1458	7117
66	1479	7087
67	1500	7060
68	1521	7032
69	1541	7001
70	1561	6971
71	1581	6943
72	1603	6920
73	1624	6893
74	1645	6868
75	1665	6838
76	1686	6810
77	1706	6784
78	1727	6758
79	1748	6732
80	1769	6704
81	1789	6679
82	1809	6651
83	1831	6626
84	1851	6601
85	1872	6575
86	1894	6553
87	1915	6528
88	1935	6503
89	1956	6479
90	1977	6455
91	1998	6431
92	2018	6403
93	2040	6380
94	2060	6354
95	2081	6332
96	2102	6306
97	2123	6282
98	2144	6260
99	2166	6238
100	2187	6216
101	2208	6193
102	2229	6169
103	2249	6141
104	2269	6117
105	2289	6091
106	2311	6069
107	2332	6047
108	2353	6025
109	2375	6002
110	2399	5986
111	2418	5960
112	2438	5935
113	2459	5912
114	2480	5887
115	2500	5862
116	2520	5839
117	2541	5815
118	2562	5791
119	2582	5767
120	2604	5747
121	2625	5725
122	2646	5702
123	2667	5678
124	2688	5655
125	2709	5634
126	2731	5612
127	2751	5588
128	2771	5565
129	2793	5543
130	2815	5523
131	2836	5500
132	2856	5476
133	2877	5454
134	2899	5434
135	2921	5412
136	2942	5391
137	2963	5368
138	2984	5345
139	3006	5325
140	3026	5301
141	3047	5278
142	3067	5255
143	3087	5232
144	3107	5208
145	3128	5186
146	3149	5163
147	3170	5141
148	3190	5118
149	3210	5094
150	3232	5073
151	3253	5052
152	3274	5029
153	3295	5006
154	3316	4984
155	3337	4963
156	3356	4939
157	3378	4917
158	3399	4896
159	3420	4874
160	3441	4851
161	3462	4830
162	3482	4807
163	3503	4784
164	3523	4761
165	3543	4738
166	3563	4715
167	3585	4695
168	3605	4672
169	3625	4648
170	3645	4626
171	3666	4604
172	3687	4582
173	3707	4559
174	3728	4537
175	3748	4515
176	3769	4493
177	3790	4471
178	3811	4450
179	3832	4428
180	3852	4405
181	3873	4384
182	3894	4363
183	3916	4341
184	3937	4320
185	3958	4299
186	3980	4278
187	4000	4255
188	4020	4233
189	4041	4211
190	4060	4188
191	4081	4166
192	4102	4145
193	4124	4124
194	4145	4102
195	4165	4080
196	4186	4059
197	4207	4037
198	4228	4015
199	4248	3993
200	4269	3972
201	4289	3949
202	4309	3927
203	4329	3905
204	4351	3884
205	4372	3863
206	4393	3841
207	4414	3820
208	4434	3798
209	4455	3776
210	4477	3755
211	4498	3734
212	4520	3713
213	4540	3691
214	4561	3670
215	4594	3658
216	4615	3636
217	4636	3615
218	4657	3594
219	4678	3572
220	4700	3551
221	4720	3529
222	4741	3508
223	4762	3486
224	4782	3464
225	4803	3443
226	4823	3421
227	4843	3399
228	4864	3377
229	4886	3356
230	4906	3334
231	4927	3313
232	4948	3291
233	4969	3270
234	4989	3248
235	5010	3226
236	5031	3205
237	5052	3184
238	5072	3162
239	5092	3140
240	5114	3119
241	5134	3097
242	5154	3076
243	5176	3054
244	5196	3033
245	5216	3011
246	5237	2989
247	5258	2968
248	5279	2946
249	5299	2925
250	5319	2903
251	5340	2882
252	5363	2862
253	5384	2840
254	5406	2819
255	5427	2798
256	5447	2776
257	5468	2755
258	5489	2734
259	5510	2712
260	5530	2691
261	5553	2670
262	5573	2649
263	5594	2627
264	5614	2605
265	5635	2584
266	5656	2563
267	5678	2542
268	5698	2520
269	5719	2499
270	5740	2478
271	5750	2452
272	5771	2431
273	5791	2409
274	5812	2388
275	5832	2366
276	5853	2345
277	5874	2324
278	5894	2303
279	5915	2281
280	5935	2260
281	5957	2239
282	5978	2218
283	5998	2196
284	6019	2175
285	6041	2154
286	6061	2133
287	6082	2112
288	6103	2090
289	6125	2070
290	6146	2048
291	6167	2027
292	6187	2006
293	6208	1984
294	6228	1963
295	6250	1942
296	6270	1921
297	6291	1900
298	6312	1878
299	6332	1857
300	6354	1836
301	6376	1815
302	6397	1794
303	6417	1773
304	6438	1752
305	6459	1730
306	6480	1709
307	6502	1688
308	6524	1667
309	6546	1647
310	6566	1625
311	6586	1604
312	6607	1583
313	6628	1562
314	6649	1540
315	6671	1520
316	6691	1498
317	6712	1477
318	6732	1456
319	6754	1435
320	6776	1414
321	6797	1393
322	6818	1372
323	6838	1350
324	6860	1329
325	6883	1309
326	6904	1288
327	6926	1266
328	6946	1245
329	6967	1224
330	6987	1203
331	7009	1182
332	7030	1161
333	7051	1140
334	7073	1119
335	7094	1097
336	7115	1076
337	7136	1055
338	7156	1034
339	7177	1013
340	7198	992
341	7219	970
342	7239	949
343	7260	928
344	7281	907
345	7302	886
346	7322	865
347	7342	843
348	7363	822
349	7384	801
350	7405	780
351	7425	759
352	7447	738
353	7467	717
354	7489	696
355	7509	674
356	7530	653
357	7551	632
358	7571	611
359	7592	590
360	7611	569
361	7632	548
362	7653	527
363	7674	506
364	7695	484
365	7717	463
366	7738	442
367	7759	421
368	7780	400
369	7800	379
370	7821	358
371	7842	337
372	7862	316
373	7884	295
374	7907	274
375	7930	253
376	7953	232
377	7975	210
378	7997	189
379	8017	168
380	8038	147
381	8058	126
382	8080	105
383	8100	84
384	8122	63
385	8142	42
386	8162	21
387	8183	0
